,    addr,   b,   i,   s,   w,   a
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0x9200,0.0606060606,0.0625,0.0625,0.1,0.1612903226,,0.1,0.1612903226

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xc3c0,0.1935483871,0.375,0.1818181818,0.1290322581,0.1764705882,,0.375
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xc840,0.1785714286,0.1666666667,0.2666666667,0.2666666667,0.2580645161,,0.1785714286,0.1666666667
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xc8c0,0.037037037,0.0909090909,0.03125,0.0322580645,0,,0.0909090909
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd040,1.84375,2.34375,1.8125,1.8387096774,2.1212121212,,2.34375,2.1212121212

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd140,0.6875,0.7419354839,0.6666666667,1.0625,0.6764705882,,1.0625
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd480,3.375,3.375,3.8,3.34375,3.935483871,,3.8,3.935483871

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd6c0,2.8823529412,3.1612903226,2.8787878788,3.7,2.8529411765,,3.1612903226,3.7
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd780,1.9032258065,1.935483871,2,1.9411764706,2.2413793103,,2.2413793103

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd940,3.0303030303,2.9310344828,2.8484848485,3.0333333333,3.0333333333,,2.9310344828,2.8484848485
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xd9c0,1,1.46875,1,1.0294117647,0.6129032258,,1.46875,0.6129032258

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xdb80,8.03125,8.40625,8.3870967742,8.4838709677,7.09375,,7.09375

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xdbc0,9.4482758621,8.7058823529,10.75,8.6060606061,8.6129032258,,9.4482758621,10.75
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xe340,1.7419354839,2.2580645161,1.7857142857,1.8484848485,1.75,,2.2580645161
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505,  0xe5c0,0.3939393939,0.3142857143,0.303030303,0.3,0.2903225806,,0.3939393939
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x109c0,7.1290322581,6.34375,6.3548387097,6.5172413793,6.2727272727,,7.1290322581
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x10b40,0.8666666667,1.2058823529,1.2903225806,1.2727272727,1.3125,,0.8666666667
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x12440,0,0.0322580645,0.0303030303,0.03125,0.0294117647,,0
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13080,0.0322580645,0.03125,0.064516129,0.03125,0,,0.064516129,0

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13380,3,2.3714285714,2.9677419355,2.4117647059,3.03125,,2.3714285714,2.4117647059
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13440,1.8387096774,1.8064516129,1.875,1.5588235294,1.8928571429,,1.5588235294
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x136c0,3.5,2.5294117647,3.0344827586,2.5882352941,2.5483870968,,3.5,3.0344827586
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13780,2.21875,2.7419354839,1.9705882353,2.8387096774,2.75,,1.9705882353
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x137c0,1.3636363636,2,1.34375,1.3225806452,1.7096774194,,2,1.7096774194

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x13840,0.1875,0.3529411765,0.4,0.3548387097,0.34375,,0.1875
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x14640,0,0.0303030303,0.03125,0.0322580645,0,,0,0

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1a600,0.1935483871,0.4193548387,0.1724137931,0.1470588235,0.1666666667,,0.4193548387
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1b180,2.5666666667,2.303030303,2.5666666667,2.5806451613,2.696969697,,2.303030303,2.696969697

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1b380,4.46875,4.875,4.46875,4.5,4.2580645161,,4.875
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1b400,2.03125,2.0333333333,2.1875,2.4838709677,2,,2.4838709677
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1c1c0,0.0625,0.0666666667,0.0606060606,0.0606060606,0.0322580645,,0.0322580645

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1f4c0,0.78125,0.7647058824,0.8571428571,0.90625,0.7741935484,,0.90625
/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1f580,0.3548387097,0.3636363636,0.3666666667,0.1935483871,0.2121212121,,0.1935483871,0.2121212121

/usr/lib/x86_64-linux-gnu/libibus-1.0.so.5.0.505, 0x1f640,0.2,0.3225806452,0.1142857143,0.21875,0.2121212121,,0.3225806452,0.1142857143
